fpd_name,bk_team
Arizona,ARI
Cardinals,ARI
ARI,ARI
ARZ,ARI
Atlanta,ATL
Falcons,ATL
ATL,ATL
Baltimore,BAL
Ravens,BAL
BAL,BAL
BLT,BAL
BALT,BAL
Buffalo,BUF
Bills,BUF
BUF,BUF
Carolina,CAR
Panthers,CAR
CAR,CAR
Chicago,CHI
Bears,CHI
CHI,CHI
Cincinnati,CIN
Bengals,CIN
CIN,CIN
Cleveland,CLE
Browns,CLE
CLE,CLE
CLV,CLE
Dallas,DAL
Cowboys,DAL
DAL,DAL
Denver,DEN
Broncos,DEN
DEN,DEN
Detroit,DET
Lions,DET
DET,DET
Green Bay,GB
Packers,GB
GB,GB
Houston,HOU
Texans,HOU
HOU,HOU
HST,HOU
HTX,HOU
Indianapolis,IND
Colts,IND
IND,IND
Jacksonville,JAX
Jaguars,JAX
JAX,JAX
Kansas City,KC
Chiefs,KC
KC,KC
Las Vegas,LV
Raiders,LV
LV,LV
Los Angeles Chargers,LAC
LA Chargers,LAC
Chargers,LAC
LAC,LAC
Los Angeles Rams,LAR
LA Rams,LAR
Rams,LAR
LA,LAR
LAR,LAR
Miami,MIA
Dolphins,MIA
MIA,MIA
Minnesota,MIN
Vikings,MIN
MIN,MIN
New England,NE
Patriots,NE
NE,NE
New Orleans,NO
Saints,NO
NO,NO
New York Giants,NYG
NY Giants,NYG
Giants,NYG
NYG,NYG
New York Jets,NYJ
NY Jets,NYJ
Jets,NYJ
NYJ,NYJ
Philadelphia,PHI
Eagles,PHI
PHI,PHI
Pittsburgh,PIT
Steelers,PIT
PIT,PIT
San Francisco,SF
49ers,SF
SF,SF
Seattle,SEA
Seahawks,SEA
SEA,SEA
Tampa Bay,TB
Buccaneers,TB
Bucs,TB
TB,TB
Tennessee,TEN
Titans,TEN
TEN,TEN
Washington,WAS
Commanders,WAS
WAS,WAS
